변환,원자료
"2024/05/24","3.565"
"2024/05/27","3.555"
"2024/05/28","3.520"
"2024/05/29","3.523"
"2024/05/30","3.528"
"2024/05/31","3.580"
"2024/06/03","3.539"
"2024/06/04","3.483"
"2024/06/05","3.502"
"2024/06/07","3.587"
"2024/06/10","3.599"
"2024/06/11","3.591"
"2024/06/12","3.556"
"2024/06/13","3.531"
"2024/06/14","3.503"
"2024/06/17","3.503"
"2024/06/18","3.506"
"2024/06/19","3.505"
"2024/06/20","3.519"
"2024/06/21","3.560"
"2024/06/24","3.554"
"2024/06/25","3.575"
"2024/06/26","3.552"
"2024/06/27","3.560"
"2024/06/28","3.591"
"2024/07/01","3.512"
"2024/07/02","3.483"
"2024/07/03","3.504"
"2024/07/04","3.514"
"2024/07/05","3.538"
"2024/07/08","3.498"
"2024/07/09","3.440"
"2024/07/10","3.475"
"2024/07/11","3.528"
"2024/07/12","3.528"
"2024/07/15","3.509"
"2024/07/16","3.483"
"2024/07/17","3.517"
"2024/07/18","3.523"
"2024/07/19","3.564"
"2024/07/22","3.510"
"2024/07/23","3.550"
"2024/07/24","3.526"
"2024/07/25","3.557"
"2024/07/26","3.541"
"2024/07/29","3.505"
"2024/07/30","3.513"
"2024/07/31","3.530"
"2024/08/01","3.512"
"2024/08/02","3.542"
"2024/08/05","3.545"
"2024/08/06","3.535"
"2024/08/07","3.487"
"2024/08/08","3.531"
"2024/08/09","3.531"
"2024/08/12","3.534"
"2024/08/13","3.579"
"2024/08/14","3.561"
"2024/08/16","3.554"
"2024/08/19","3.538"
"2024/08/20","3.523"
"2024/08/21","3.536"
"2024/08/22","3.538"
